cancer,morbidity,cancer_size,morbid_size,pre_diag,post_diag,total,pre_diag_perc,post_diag_perc,total_perc
Biliary tract,Pancreatitis,44,485,4,2,6,0.09090909090909091,0.045454545454545456,0.13636363636363635
Biliary tract,Parkinsons_disease,44,103,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Peptic_ulcer_disease,44,1903,6,3,9,0.13636363636363635,0.06818181818181818,0.20454545454545456
Biliary tract,Peripheral_arterial_disease,44,884,3,0,3,0.06818181818181818,0.0,0.06818181818181818
Biliary tract,Peripheral_venous_and_lymphatic_disease,44,2631,1,2,3,0.022727272727272728,0.045454545454545456,0.06818181818181818
Biliary tract,Personality_disorder,44,1406,3,0,3,0.06818181818181818,0.0,0.06818181818181818
Biliary tract,Polycystic_ovarian_syndrome,44,2594,0,0,0,0.0,0.0,0.0
Biliary tract,Polycythaemia_vera,44,46,0,0,0,0.0,0.0,0.0
Biliary tract,Polymyalgia_Rheumatica,44,136,0,0,0,0.0,0.0,0.0
Biliary tract,Portal_hypertension_and_oesophageal_varices,44,197,3,2,5,0.06818181818181818,0.045454545454545456,0.11363636363636363
Biliary tract,Post-traumatic_stress_and_stress-related_disorders,44,5058,2,0,2,0.045454545454545456,0.0,0.045454545454545456
Biliary tract,Primary_Malignancy_Adult_Solid,44,2321,44,0,44,1.0,0.0,1.0
Biliary tract,Primary_Malignancy_All,44,2791,14,0,14,0.3181818181818182,0.0,0.3181818181818182
Biliary tract,Primary_Malignancy_Blood_and_Lymph,44,515,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Primary_Malignancy_CNS,44,86,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Primary_Malignancy_Digestive,44,534,44,0,44,1.0,0.0,1.0
Biliary tract,Primary_Malignancy_Endocrine,44,164,0,1,1,0.0,0.022727272727272728,0.022727272727272728
Biliary tract,Primary_Malignancy_Gynaecological,44,364,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_Leukaemia,44,99,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_Lymphoma,44,193,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_Male_Genital,44,222,0,1,1,0.0,0.022727272727272728,0.022727272727272728
Biliary tract,Primary_Malignancy_Multiple_myeloma_and_malignant_plasma_cell_neoplasms,44,46,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_Oro-pharyngeal,44,79,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_Other,44,396,4,3,7,0.09090909090909091,0.06818181818181818,0.1590909090909091
Biliary tract,Primary_Malignancy_Other_Skin_and_subcutaneous_tissue,44,130,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_Respiratory,44,151,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_Skin,44,160,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_Urinary,44,213,0,2,2,0.0,0.045454545454545456,0.045454545454545456
Biliary tract,Primary_Malignancy_biliary_tract,44,44,44,0,44,1.0,0.0,1.0
Biliary tract,Primary_Malignancy_bladder,44,164,0,2,2,0.0,0.045454545454545456,0.045454545454545456
Biliary tract,Primary_Malignancy_bone_and_articular_cartilage,44,57,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_breast,44,437,0,2,2,0.0,0.045454545454545456,0.045454545454545456
Biliary tract,Primary_Malignancy_cervical,44,138,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_colorectal_and_anus,44,241,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Primary_Malignancy_kidney_and_ureter,44,182,0,2,2,0.0,0.045454545454545456,0.045454545454545456
Biliary tract,Primary_Malignancy_liver,44,54,12,4,16,0.2727272727272727,0.09090909090909091,0.36363636363636365
Biliary tract,Primary_Malignancy_lung_and_trachea,44,131,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_malignant_melanoma,44,25,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_mesothelioma,44,41,1,0,1,0.022727272727272728,0.0,0.022727272727272728
Biliary tract,Primary_Malignancy_oesophageal,44,25,0,0,0,0.0,0.0,0.0
Biliary tract,Primary_Malignancy_ovarian,44,117,0,0,0,0.0,0.0,0.0
